start	end	text
407000	415000	The other thing you often see with things like ChatGPT is that it'll give you a response,
415000	421000	and then it will say, if you'd like more specific information, tell them your gender or something like that.
421000	422000	Oh, okay.
422000	423000	So it can kind of give a...
423000	424000	That'll probably make more sense, yeah.
424000	427000	...a bit of a response and then say, you know, yeah.
427000	428000	Yeah.
428000	429000	What they also...
429000	432000	What supports are available to the guards and the courts?
432000	436000	So you're talking here about baron orders, protected orders, safety orders.
436000	437000	Hmm.
437000	438000	Yeah.
438000	439000	They would need to be built in as well.
439000	443000	So what kind of protective measures are out there for me if I come forward?
443000	444000	Yeah.
444000	445000	That kind of way.
445000	446000	Yeah.
446000	447000	If that makes sense.
447000	450000	So I suppose you just need to split them up into different categories, like...
450000	451000	Yeah.
451000	452000	...you know, kind of...
452000	454000	Like what we're doing with the act kind of way.
454000	455000	Yeah, yeah, exactly.
455000	456000	Yeah.
456000	457000	Yeah.
457000	458000	Yeah.
458000	462000	Well, we start with that support one and see what we get back, and then maybe we can
462000	467000	add some detail on gender and children and see...
467000	469000	Do you have some kind of way to set up here?
469000	470000	Can you just talk back to me, can I?
470000	471000	Yeah, yeah.
471000	472000	I can, yeah.
472000	473000	Not sure.
473000	476000	Can you just kind of type or tell us what to type?
476000	479000	Just say, what supports are available to me?
479000	480000	No, hang on.
480000	481000	That...
481000	482000	Hang on, hang on, hang on.
482000	483000	Hang on, hang on.
483000	484000	Hang on, hang on.
484000	486000	Is it very short questions we ask?
486000	487000	Or is it free?
487000	488000	Yeah, it'd be...
488000	489000	Well, it's...
489000	491000	It can be long-winded if they need to be.
491000	494000	Well, I'd just say, I'm a survivor of domestic violence.
494000	496000	What supports are available to me?
496000	497000	Right.
497000	498000	Is it?
498000	499000	Yeah.
499000	503000	Do you wanna...
503000	509000	Don't give it my type of day.
509000	515000	I am a survivor...
515000	516000	Of...
516000	518000	No, what did I say now?
518000	523000	No, I think we can also like...
523000	528000	No, survivor, no.
528000	557040	Let's see what goes back, maybe nothing In reality you'll probably get some people
557080	559080	I'm getting a laugh actually
561560	567600	But if I'm looking at that now gosh, that's bullshit in relation to can I scroll up there again, yeah
569400	571400	It's still generating
572360	577240	This one here on the right hand side is the kind of normal chat GPT
577240	583640	Yeah, and the other one is the one that uses the stuff okay from the website. It's just the idea of
583640	591360	Well, this is also from from everywhere USA UK yeah, I'll see
591360	596000	Do you want to put it in Ireland? Sorry? I should have put that in the question. Should I know this is the one
597800	599800	This is like for
600760	604680	This will not show to the user, but now for for test, okay
605360	607960	So what came up there then for Ireland sir?
608880	610880	I'm sorry the one you're building
611120	613600	Sir what supports came up?
625680	631240	I think it didn't give anything. Okay. The question was a little bit
633840	636480	Should be more like what refuges are available in glory
636480	638480	I
639280	641480	Should be about like what refuges are available
642920	644920	Possibly yeah, yeah
645600	649280	Is that what you if somebody asked for what supports are available?
649280	655000	Would you expect the refuges to come up like yeah, whatever? Yeah, you would you okay? Yeah
657080	665000	It will need know your location right yeah, so okay, so like if the question is like this
666480	671720	At least I need you I need to the chat bot should ask the user's location
672360	678560	Okay before it give the answer. Is that correct? Yeah, I guess if it's enough it might be yeah
679360	681360	location
681920	684560	GPS but yeah, I mean for this example, maybe
686800	693400	We should provide it explicitly in the in the question, let's say what refuges are available in goldway
694400	699520	How big are you making this is this stick for nationwide or sir and I
700600	702600	Could be yeah
703840	708100	Suppose it depends on access to it to relevant information
714760	719080	That supports are available to me and go away maybe what refuges
723400	725400	I
725400	727400	Say it's the running to me
728640	734120	Is it okay, so don't just worry when you get it funny. Yeah, that's it. Okay
745040	751480	Okay, she's looking up there no boy that's not there's a domestic violence response
753400	755400	But
760080	762780	This it says there are 20
763840	769340	It's still key didn't give you the space like to lose the gingerbread. Oh, yeah
772920	776720	Yeah, shouldn't give the name of the areas push
779520	781520	Is this a little bit around sir
782520	785080	Yeah, but that would definitely be one as well depends on
786640	792800	Their nature of their domestic violence relationship, but that actually would be there that would be in it as well. Sorry
801760	807960	So these are the answer I should get in this robot this chatbot
807960	815680	Where is Chuck Darragh from the refuge corporation record this chapter?
817440	819440	So the woman's refuge I
819920	823320	Said that this one doesn't tell us where the information was sourced from
823320	827080	I guess the other one does because we've provided the information
828200	830080	Women's Refuge
830080	832080	Corporation Road
837960	839960	I
854720	857360	So this is the one if the
858600	860600	like
860720	865340	The best model like like if I didn't give it any information
865900	871460	Okay, this is all from their like original training data
872100	876740	Okay. Yeah, so I want to improve their performance
877260	881340	Okay, give the better more in detail information
883620	885620	But here since
885660	889740	It's just a prototype. Yes. Okay. I think it's
890980	892980	Worse than this. Yes. Yes
895340	897340	You
899540	902540	Here I think cobra Louis
902540	925700	So what's coming up here is better than what we have over here. But the main one is not
925700	931740	there. Moetta is the first main point of contact that you would need if you're a female.
931740	936860	You're looking for support. Wanting to leave the house with the children. It's the one
936860	943380	thing that they always go for. And obviously there could be questions about Moetta as well.
943380	951380	So where I can get the information? Moetta. You Google Moetta. That's how much you're looking
951380	963060	for. Yeah, yeah. All the information that you require. Moetta. Mo-e-h-e-i-l-e. Mo-e-h-e-i-l-e.
963060	990780	Two words you said here. Cope. It's under cope. That's the main one for women. And then
990780	995620	that takes the role of the children because they take the women and the children into
995620	1000100	the refuge. There's their own apartment on the side of the refuge, which is great. It's
1000100	1006500	not communal spaces anymore. It's like an apartment block. So that is the most ideal
1006500	1012500	one for the women. For the men, if you're asking what supports are available for men,
1012500	1018420	they're very limited as we know. You'd be talking about Men's Network. But they're based
1018420	1025860	in Waterford. But they cover the whole country through counselling. And they also offer legal
1025860	1034060	support if needed, which is great. So if you're a father, you are going to be looking for
1034060	1038060	the same things, like what's available for me out there. When I'm in domestic violence
1038060	1042860	for five years, I've had enough. Can I get her out? How do I get her out of the house?
1042860	1047940	So you're talking here about what are the orders? The courts. If you want to do that,
1047940	1053700	just separate. As I said, supports, then maybe look at the finance. Housing is going to be
1053700	1059740	huge. It's going to be huge anywhere. Massive. So I'd be kind of like stuff around having
1059740	1066020	the same community there with a helpline, counter-council, having the, you know. Would
1066020	1070180	this give websites, if you ask for it, could I get the website for a call with counter-council?
1070180	1076820	Yeah. And then you get the social housing form. And then you have the, whatever kind
1076820	1084100	of support the council can offer. Can I apply for a deposit for under the domestic violence
1084100	1088940	provision? Yes, you can. How will they go about doing that? So you've got one section
1088940	1094260	just on finance to include all that. So if Anto comes up on finance, on the question,
1094260	1100780	it'll bring it straight to that section that should be developed in your letter. Yeah.
1100780	1109660	Is, are the kind of answers to those questions, um, published in different places? Not really.
1109660	1117780	Not really. No, not really. They say it's here, but here's the, here's the social, sorry,
1117780	1122660	just the form of social housing, but yet you have to go to revenue. Yeah. And then you
1122660	1126180	have to go and you have to get an affidavit signed and people get overwhelmed by that
1126180	1131300	then. So it's about having the support that will help them go through that is what's needed.
1131300	1136380	Unless they're well able to go themselves. But for the very start, when people are contacted
1136380	1143420	and are using this, it is crisis management. Where can I go right now? It's quarter past
1143420	1148140	one on a Friday. I need to get the hell out of here before he comes home. Where do I go?
1148140	1153380	What's this? Oh, Pops Moella. They contact Moella. Are you safe or do we need to contact
1153380	1158660	the guards to bring you here? Yeah. That's the question that will come back to me. But
1158660	1167180	what you just want for the, for this is to give them information on Moella. Yeah. What's
1167180	1191660	this query? I just asked. I'm a man. Where can I go?
1191660	1201820	So before this, I want to know like these, like basic answers. Are they accurate? Yes.
1201820	1207100	That's correct. Go around crisis. Okay. I haven't heard of transgender quality network
1207100	1215460	Ireland. So it says a service to people in Galway, but they must exist somewhere. But
1215460	1226500	there's a lot of stuff that's stable. It's fairly. No, none of that. None of that. All
1226500	1233220	that. No. Okay. So you would take a one. Yes. 100%. Call your rape crisis. Definitely would
1233220	1240420	be involved in that. Okay. Yeah. They would be kind of providing counseling at a later
1240420	1251140	stage more so than after family leave. That's the direction. So one, I think one problems
1251140	1257780	may, maybe the, the, the, the base model is sometimes they, they, they cannot give you
1257780	1264060	the accurate information. And I think in this situation, the, the accuracy is important.
1264060	1275860	So yeah, but, so I thought maybe, no, I mean, in my chatbot, sometimes the, they cannot
1275860	1284980	find the information, but at least I need to make sure the accuracy of the information.
1284980	1304500	And wait a sec. Where's the, where's my, where's my, the, the question I'm a man. Okay. Here.
1304500	1314060	So another thing is you mentioned the, like the, when, when people ask for support, like
1314060	1322740	the house finance, all this stuff, do, do you, do you mean then in this chatbot, it,
1322740	1329200	it doesn't need to give you this instructions. It only need to give you the information where
1329200	1345400	you can find the, where you need to go, where you need to go. Okay. Do you want to try one
1345400	1355000	of it? The children, something like I've got two children, what supports are available
1355000	1380200	for them? Where should I go? What can I get? What, what support can I, can they get? For
1410200	1417960	example, you know, it's going into, it's coming into stuff like, you know, 10 GP services.
1417960	1425080	That's kind of straightforward enough really. Um, free counseling services. Okay. I should
1425080	1440000	be looking at your one over here. Should I? Oh, okay. You'd expect rainbows to be coming
1440000	1444640	up there now. They're, they're a national organization as well, but that's their own
1444640	1449040	bereavement. But it's a bit, it's also about lots of parents, even though it doesn't have
1449040	1454800	to be bereaved or separated. They're going to be separated as a result of this. So that
1454800	1459040	would be one support that would come up. And it's a national organization. Should you just
1459040	1469400	put in rainbows? They're their rainbows, Ireland. So they're based all over the country. Okay.
1469400	1473720	It would be a good support for, now you have to be six months separated or six months before
1473720	1478640	you can go on and put their rain all over the place. But it is a good support for, for
1478640	1483440	children because it's specifically designed for, as I said, breach or separate parents.
1483440	1487760	Okay. The only difference is if you're in a group you're never put in with a group who's
1487760	1492760	separated if you're, with your parents bereaved. Okay. Obviously. So you're definitely getting
1492760	1497000	the one to one support and those groups are very small, doing it in around three. Okay.
1497000	1502560	It's going to be 54 or 55 kids in the evening, so only three in it. It's a great service
1502560	1506400	to have. It would be a service that parents would be looking for, but not for our parents
1506400	1514600	would know about it. Right. Okay. Yeah. So that would be one kind of aspect. Yeah. So
1514600	1521240	is there a rainbows program in Galway? I thought it was a voice recognition thing as well.
1521240	1534480	I haven't tried, I haven't tried. Oh, sorry. Is there, sorry. I get lazy. Is there a rainbows
1534480	1557800	program in Galway? What? Thank you. Good.
1587800	1601760	Where does it start again? There. The once more, yeah. See the rainbows Ireland program
1601760	1606280	for children who have experienced death and force or other fabric changes. Okay. That's
1606280	1611240	all there. Yeah. We're talking about complaints and Brussels and all that kind of stuff. To
1611240	1618400	you. So it would be the main one here. Definitely there. He just, he never heard of that service
1618400	1625520	club and clinic or that and it's going down into what you watch. We'd have both local
1625520	1633120	schools and communities and just go ahead and pay agency. I assume kind of shorter responses
1633120	1641120	or more of what people would be after to the point. If you think that if you're in a crisis
1641160	1647200	where the fuck can I go? Yeah. And like, you know, is he going to follow me? Yeah. How
1647200	1653480	do I get there? Yeah. Yeah. Should it be taxi numbers? Can I get a taxi? Can you book a
1653480	1658560	taxi from this? Yeah. Yeah. You know, if you get to my wallet, I'd actually pay for your
1658560	1662920	taxi if you didn't want to pay for the taxi. Okay. It's a great service. Like if you're
1662920	1670040	living out in that really like if you're over kind of is where that lady was from was Glinsk.
1670040	1674880	There's nothing, no taxes over there. So we had to bring her from Glinsk into Mowell
1674880	1682280	and Galway with six kids. That was a fun drive. Yeah. Cause kids wanted to be with Bellamy
1682280	1690920	and the car. Of course. So seven seater kids. Yeah. One extra overload. Overload. Yeah. Needs
1690920	1699920	most. Yeah. Needs most. Yeah, exactly. Squad car going ahead of us. Yeah. So some of these
1699920	1704480	things are good. Some of them are. It's really giving you a lot of information to find out
1704480	1708080	the rainbows for a lot of direct wind contact. Local, you're not going to be contacted. There's
1708080	1717240	no, I, in my knowledge base, there's no information about this website. So it didn't give anything.
1717240	1726160	Okay. All right. Is there any kind of testimonials, something like testimonials that would exist
1726160	1732320	where victims would describe the actual, you know, the fact that I went to Mowella because,
1732320	1737400	and they helped me with XYZ. As I said to you, I emailed to Mowella to give me a few
1737400	1744920	testimonials and they never got back to me. Okay. Yeah. So I think it's, it's that kind
1744920	1753240	of, I see the testimonials as a place where it puts all of the stuff, the reason why things
1753240	1761080	are done together and it kind of puts relevant stuff together. And that's all stuff that is
1761080	1767200	something that a model like this could pick up on and use. So kind of joining the dots rather
1767200	1773120	than just a directory of information, but you don't really know why you need that stuff. So I
1773120	1782480	think to make it more useful, something like those would be good. I mean, the only other thing I can
1782520	1788040	think of beyond that is like if we sat down and did an interview with you and transcribed the
1788040	1791680	whole thing where you're talking through these things, but that's something then that could
1791680	1801000	probably go out on a date and that sort of thing. But it's this, I think the thing that's hard to,
1801000	1811360	to get at is, you know, you would do this because, and this will help you with XYZ. And when you do
1811360	1817240	that, you might do this kind of connecting it to come up with a, you know, a plan or something
1817240	1822760	that's relevant for a particular, someone's particular situation. Well, it's, it's, it's,
1822760	1830160	it's, it's, it's, it's a, it's a very basic enough, right? You would go to a refuge, which
1830160	1834760	your kids, and they try and locate you in a different area, get the court system behind you,
1834760	1839320	get a baron orders, that guy can go near them for five years. That's the kind of it. And they're
1839320	1844240	happy with that. And that's 100%. Yeah. Amazing. Yeah. Because they only have a two year old
1844240	1848400	and don't be seven. You know, you have a 12 year old and there's an older 17. Yeah. So
1848400	1853760	self determinate all that kind of stuff themselves. But that's really what they want. That's where
1853760	1859240	can I go? Where am I safe? Where are the kids safe? Yeah. Like, I can't imagine you use this
1859240	1864720	when you're post after that. When you're say, when you're inside, are you going to go look
1864720	1869720	for this again? Housing is a great idea. But I'll go back to the chatbot again and see, can they
1869720	1874800	give me information on housing? Whereas citizens information, I'm not, not by any means. It's
1874800	1880800	great. I'm just trying to give the idea like a success story or this it's basic enough of what
1880800	1886120	the success will be. Yeah. It's very easy to say it. But the reality is I'm trying to find a house
1886120	1890000	for someone to move into. Yeah, it's very difficult. And then you talk about the schools,
1890640	1897360	changing our schools, how to change the schools, all that kind of stuff. Yeah. Yeah. So like,
1897360	1901560	whatever it is that you're trying to get from this, is it to give it to me as much information
1901560	1906600	as possible, then that will become overpowering to me. Yeah. Yeah. Do you know, so even like,
1906600	1913040	give me four or five of the top ones will be ideal. Yeah. So what we're trying to understand
1913040	1919400	is what would be useful to get out of it. And then how can we tweak it so that it does
1920200	1925680	produce that. So in a way, we're trying to get in the heads of somebody who would be using it. And,
1925680	1935760	you know, in some ways, it's probably about making sure that the answers to their questions
1935760	1941640	are accurate. But then there's probably other roles that could have like, like, if there's
1941640	1948000	stuff that they, you know, hadn't thought about asking, but would be useful for them to know,
1948000	1955560	at this point in their kind of situation, then the chatbot can provide information on those
1955560	1962720	things as well and give them a sense of what that journey ahead might look like to, I suppose,
1962720	1967280	illustrate that, you know, there's a way out of it. Yeah. That's what the testimonials were
1967280	1976880	probably. Yeah. Yeah. Yeah. Um, yeah. So, so I think what would you like to have from the
1976880	1988480	testimonials? What kind of, um, so rather than doing an interview now with people, what would be
1988480	2000240	I, uh, this is, this is all kind of based on what I think would be useful. It doesn't necessarily
2000240	2011600	mean it would be, but, um, from, from, from what I think the testimonials could describe someone's
2011600	2020040	situation that they found themselves in, um, and describe their journey or their path to getting
2020040	2028240	support, things that worked well, things that didn't. And if you had enough of those, um, then,
2028240	2036200	uh, and you were able to provide them to something like this, then it would be able to pick the bits
2036200	2040640	that are relevant from different ones to find the ones that are relevant to a particular person's
2040640	2049920	situation and to use those to generate a response. So it's a man with children who, um, is in some
2049920	2055040	particular situation and there might be, if you had like a few different testimonials that kind of
2055040	2060880	match that, um, then there might be some say in the right location. And so you might be able to
2060880	2068320	kind of pick bits from them to kind of kind of frame your answer based on that frame, you know,
2068320	2078480	someone's experiences rather than, um, cause I think it's in that way, it's, it would allow you
2078480	2087920	to provide responses that, um, don't just present a particular service in isolation, but it's more
2087920	2093840	presenting it that in a way that, you know, you might need this, this and this because somebody
2093840	2098320	else did and found those useful and they were in a similar situation to you, which you wouldn't get
2098320	2103440	from any of those individual websites, but you get it because this person experienced that and that
2103440	2111280	worked for them. So it's the testimonials for me provide a way of linking different services, um,
2111280	2118160	to provide a useful journey for somebody out of that situation. Okay. I should have written down
2118160	2129360	that. You can give me a transcript of that. I actually could get you a few testimonials from
2129360	2134800	our case that are open to us at the moment. They're coming towards the end of it. Right. But
2134800	2142080	if you could type up those questions that you just said there, I can run that by them. Yeah.
2142080	2146320	Yeah. Definitely get four testimonials. Anyway, like one will talk for Ireland, like, you know,
2147200	2152000	yeah. Or she's good. If that's what you want, that's what's needed. What do you think would be
2152000	2161520	useful? Uh, the thing you said, the testimonial part, does that mean, uh, I need to, the chatbot
2161520	2168640	need to ask the user a lot of information. Possibly, yeah. But will the user willing to
2168640	2175760	type so many things? It's like almost like type, uh, all the
2178240	2185200	story. Well, I'm thinking that you might get at something like the, um, chatbot might say,
2186080	2194240	um, yes, we have various different organizations that offer support. Some of these are specific to
2194240	2200000	men. Some are specific to, to women. Um, if you'd like more detail on any of these,
2200000	2204640	let me know if you're a man or a woman, I might just type man. And then I might go into more
2204640	2214800	detail on this. And all of that is forming an interaction then that, um, the, obviously the
2214800	2220240	way that these work is that pre the previous conversation is taken into account in any
2220240	2225920	responses. So they've already declared they're a man and other answers could take that into
2225920	2231920	account as well. So you need to keep restating the situation, but it's more like with a support
2231920	2237920	worker, they would develop an understanding over time and only, uh, present stuff that's relevant.
2240960	2246400	If you were to get testimonials like that, and that was your main source of data, you'd probably
2246400	2252320	need a lot of them, wouldn't you? Yeah. Yeah. So that's probably the limiting factor here is that,
2252800	2257600	um, unless there there's a good source and it's readily available,
2259200	2263920	it's probably unrealistic to ask you to produce the event you would need to come up with any kind
2263920	2273920	of good answers to it. So, um, in that case, we'd, we'd need to try and I suppose just make best use
2273920	2287440	of the stuff that is available. Um, yeah. Um, yeah. So, um, the information part is definitely
2287440	2297440	need to improve the, you said the testimony part, uh, if they're just like, not, I don't,
2297440	2306400	I don't get so many data should I still use this? Well, one thing we could think about doing is to
2307600	2317280	kind of think about it as a, as a kind of a feasibility or, um, uh, of the tool for maybe
2317280	2324320	one particular user group. So we could try and get like, I don't know, 10 testimonials or something
2324320	2333280	that are all from people in a similar area or maybe similar gender, and then just, um,
2333280	2339440	kind of test whether or not if we were playing the part of somebody in a similar role,
2339440	2345680	would we get better responses if we had those testimonials available? Um, and that would just
2345680	2351120	allow us to kind of, yeah, test whether that testimonial approach would be something that was
2351120	2355760	worth pursuing if we did have resources to do that or whether, you know, the responses
2355760	2363600	actually aren't much better if you do have that data. Um, that could be one, one, um, way to go.
2370000	2374560	The localization of things is, is another important aspects. Yeah.
2374880	2381760	So that's something to think about. How, how do you do that?
2382560	2386240	Is that something that can be picked up in the scraping or is it something that
2386240	2389520	would need someone to manually tie things that
2393600	2399360	if I ask us about an action rather than just what's available. So how do I get support?
2399360	2410480	Hmm. The other thing with a testimonial as well is it would probably include things like multiple
2410480	2417040	factors like housing, finance, children, that sort of thing that the chatbot could use to
2417040	2423600	structure answers and say, um, here's areas that people commonly need to consider. Is there any
2423600	2430480	of these that you would, um, you know, well, that's all good. It's all the finance stuff
2430480	2436640	there and all that. Don't know how much we're just getting it all from, but just go up again.
2436640	2440720	I think the format is broken or something. Where's my question?
2442960	2447600	How do I get support? So it's telling me there about immediate safety. It's the contact
2447600	2453600	guardians, other ones, domestic violence service, seek refuge in shelter. That's all there.
2454880	2459120	Haven though, if you're homeless or need emergency, the Haven can provide shelter.
2461040	2464240	The Haven. Never heard that in Galway is it? Yeah.
2467840	2475120	It's Haven Galway. H-A-V-E-N. I'm going to address here Boundary Avenue.
2475840	2480080	It's an apartment that you can rent at booking.com.
2485120	2491120	It's a apartment? One Boundary Avenue.
2491120	2505760	Meals are in Project Burger, Car of Haven, Family Hope.
2511920	2513120	Chop Car of Day Center.
2513120	2525760	There's Car of Haven, Family Hope, and that's what it's referred to.
2528080	2530240	But again, that's not much use to you if... No.
2531840	2538720	This is going to react to all the legal advice. That's actually not bad. If you ask actions
2539360	2545840	rather than give me, you get more of a... So what was your restaurant there?
2545840	2549680	I just asked, how do I get support? How? How? Okay.
2554000	2556160	Rather than what's available, you're going to get everything.
2559840	2565200	There's a few sites that we've come across. How do I go to refuge?
2565200	2570640	Pretty straightforward. I don't see why they'll give me that.
2578640	2580720	They'll tell you why you would go to a refuge.
2582320	2586160	That's actually a good question as well. Why would I go to a refuge?
2586160	2591040	I'm just going to put it out to the loo for a second.
2593280	2593680	Sorry.
2599040	2602000	There's a lot of information which is generated for that one.
2602960	2605040	I'm not destroying it now.
2614240	2617920	Is this perhaps a PhD for you, or is it a master's or...
2617920	2620960	Master. In artificial intelligence, is it?
2621520	2622160	In what?
2622160	2622960	Artific... AI?
2623520	2629200	No, it's data analytics. It's very similar to AI. We have a lot of same class.
2629200	2629600	Okay.
2629600	2630100	Yeah.
2633520	2635440	This is law school overnight now.
2635440	2636400	It's never stopped.
2638400	2639280	Can I stop it?
2640000	2644400	Yeah. Is something wrong happened?
2647760	2649280	Right. It's some...
2651760	2656080	There are not some meaningful words?
2656080	2656320	No.
2656320	2657200	No meaningful?
2657200	2657920	No.
2657920	2659680	Okay. Something is wrong here.
2661760	2662320	Oh, come on.
2669440	2671280	I think something is wrong here.
2676560	2680880	I think it's in your loop, the software.
2680880	2690160	I cannot hear.
2690160	2694960	Okay. The website is in freeze, I think.
2700960	2705280	Okay. I killed the website, totally.
2710880	2714160	Okay. This is the...
2717280	2718800	You okay for talking to me, man?
2718800	2719360	Yeah, I'm okay.
2729360	2733920	The best model, there's something wrong in the best model.
2734880	2740400	It's... Continue to give all the nonsense words.
2741120	2742480	All right. Okay. Yeah.
2744720	2746880	I don't know what's wrong here. See?
2747680	2748320	Right. Okay.
2748320	2751520	It's even freeze the web page.
2752320	2755760	Okay. What's the question you asked?
2755760	2756880	What was the question?
2756880	2767680	How do I go to a refuge here?
2767680	2768560	Maybe a typo?
2769120	2773120	No, but here my rag for this is good.
2773120	2779040	Okay. In terms of the...
2780720	2785280	You mentioned those things that you would want to know for each thing.
2785760	2788880	It was the... How? What?
2789840	2792320	The with the why. That's the best of the first in those questions.
2793360	2793680	Right.
2793680	2795200	Something very short and snappy.
2795200	2796720	How do I go to a refuge?
2796720	2798960	What's available to me in a refuge?
2798960	2800560	Where do I get counselling?
2802000	2803760	Tell them that's it. Where would I get counselling?
2806720	2808640	So you get everything here now again.
2808640	2809680	How do you spell counselling?
2809680	2810480	C-O-U-N.
2810480	2813600	C-O-U-N.
2823360	2830400	Because we can ask the model to provide answers in particular formats as well.
2830400	2839040	So if the why or whatever was always important, then you could incorporate that into the responses.
2839040	2845200	And maybe that's something that is worth doing because everything you suggest,
2847840	2850560	somebody would probably want an explanation to...
2852400	2855120	Why would they do that in the first place and what would they get out of it?
